Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,128.8,125.3,121.7,117.9,114.1,110.1,106.1,102,97.9,93.9,90,86.2,82.6,79.2,76,73.1,70.4
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.482,56.044,56.637,57.25,57.875,58.5,59.11,59.694,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,56.678,57.249,57.849,58.468,59.1,59.73,60.346,60.933,61.486,61.999,62.476,62.924,63.354,63.778,64.197,64.613,65.024
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,54.376,54.929,55.515,56.121,56.74,57.359,57.964,58.543,59.086,59.589,60.054,60.484,60.892,61.286,61.67,62.046,62.412
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,184.4947121,195.7766303,216.7081289,247.66414,269.229693,366.2304432,370.382294,444.1844041,550.514974,599.2976298,648.5110696,647.9664605,625.3395388,590.0764738,549.5827599
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,9.44339057,8.94125853,9.80847323,9.94828911,10.62276563,9.90467425,10.25649568,9.81848731,8.56967118,8.56190731,7.89716844,8.8059641,9.52887835,10.09395812,10.19867734
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,..,..,..,..,..,..,..,..,35.10919952,..,..,..,14.27429962,..,..,..,..
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,..,..,..,..,61.68759918,..,..,..,46.16189957,..,..,..,..
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,..,..,..,..,..,..,..,..,79.86009979,..,..,..,75.99890137,..,..,..,..
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,24,33,36,41,50,58,58,63,64,63,66,68,67,64,62,65,65
Afghanistan,AFG,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,..,..,..,..,..,..,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,31.74111938,..,..,..,..,..
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,24.5,22.9,21.4,19.9,18.5,17.2,16,14.8,13.8,12.8,12,11.3,10.7,10.1,9.7,9.4,9.1
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.955,74.286,74.575,74.82,75.028,75.217,75.418,75.656,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,76.953,77.264,77.541,77.782,77.988,78.17,78.344,78.528,78.733,78.962,79.209,79.462,79.705,79.927,80.124,80.297,80.451
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.215,71.6,71.937,72.223,72.461,72.678,72.911,73.192,73.539,73.95,74.404,74.867,75.299,75.671,75.974,76.209,76.389
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.360204,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4131.872341
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.76132337,6.51584893,6.43433172,6.35372947,6.55977303,6.3428304,5.93267196,6.12899955,5.56658865,5.09043094,5.00999686,5.60327041,5.84830141,6.34386087,6.91679461,6.81974032,6.69789475
Albania,ALB,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,..,..,..,..,..,..,..,17.40550041,20.84499931,21.54039955,18.52589989,29.05069923,20.69540024,14.11670017,13.85999966,13.39999962,..
Albania,ALB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,50.29999924,..,..,40.94779968,46.24539948,47.47309875,47.42599869,51.85739899,49.37120056,44.10150146,44.33000183,46.15000153,..
Albania,ALB,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,..,..,..,..,61.20000076,..,..,51.53939819,53.75730133,56.84970093,55.8266983,58.57870102,55.61130142,50.71569824,51.36000061,53.31000137,..
Albania,ALB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,97,97,98,97,97,98,97,98,99,98,99,99,99,99,98,99,98
Albania,ALB,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,..,..,..,..,..,4,4,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,98.71298218,..,..,..,..,..,..,95.93863678,..,..,96.84529877,97.24697113,..,..,..,..
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,39.7,38.9,37.8,36.5,35,33.5,32.1,30.7,29.4,28.3,27.4,26.7,26.1,25.7,25.3,24.9,24.5
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.292,70.778,71.276,71.78,72.281,72.767,73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.748,72.22,72.703,73.189,73.669,74.13,74.561,74.957,75.314,75.634,75.918,76.174,76.412,76.644,76.873,77.103,77.333
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.893,69.393,69.906,70.427,70.949,71.458,71.942,72.391,72.798,73.162,73.481,73.76,74.009,74.239,74.456,74.667,74.873
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1757.017797,1732.857979,1774.033673,2094.335506,2598.908023,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675,5432.41332,5565.134521,5471.123389,5466.425778,4162.852181,3943.49755
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.48903279,3.83787696,3.73004148,3.60104113,3.54407306,3.23516117,3.35510349,3.82141758,4.2018824,5.35939829,5.11716993,5.26748086,6.00050994,6.03576267,6.54721401,6.98289165,6.648475
Algeria,DZA,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,..,..,..,..,..,..,..,..,..,5.46999979,5.579999924,..,..,..,4.989999771,4.813399792,4.403399944
Algeria,DZA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..,20.20000076,..,..,..,..,..,..,..,37.22000122,37.54999924,36.15000153,..,..,36.43000031,37.03419876,37.59939957
Algeria,DZA,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,..,..,..,..,..,..,..,..,..,62.77999878,63.27999878,..,..,..,60.13999939,60.20000076,61.05049896
Algeria,DZA,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,86,89,86,87,86,88,95,95,93,95,95,95,95,95,95,95,91
Algeria,DZA,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
