"","country","cmortality","lifeexp","lifeexpf","lifeexpm","gdp","hexp","immun"
"1","Afghanistan","70.4",538,"65.024","62.412","549.5827599","10.19867734","65"
"2","Albania","9.1",908,"80.451","76.389","4131.872341","6.69789475","98"
"3","Algeria","24.5",856,"77.333","74.873","3943.49755","6.648475","91"
"4","Angola","84.6",504,"64.411","58.717","3509.604211","2.87782524","55"
"5","Armenia","13.3",810,"77.64","71.265","3605.743117","9.92732109","94"
"6","Azerbaijan","24.6",754,"75.046","69.002","3880.738731","6.89059972","97"
"7","Bangladesh","34.3",762,"74.294","70.891","1358.779186","2.36505997","97"
"8","Belarus","3.9",793,"79","68.9","5025.405064","6.31679395","98"
"9","Belize","14.9",699,"73.396","67.736","4923.358922","6.12137415","95"
"10","Benin","101",488,"62.398","59.382","788.5324424","3.85561779","82"
"11","Bhutan","32",693,"70.459","69.933","2782.367967","3.45418055","98"
"12","Bolivia","36.1",663,"71.689","66.672","3117.330459","6.86056405","87"
"13","Bosnia and Herzegovina","5.9",870,"79.398","74.361","4808.636043","9.22955617","78"
"14","Botswana","39.3",613,"69.517","64.001","6954.144126","5.46320154","95"
"15","Brazil","16.3",843,"79.139","71.883","8650.376373","11.77150303","89"
"16","Bulgaria","7.9",820,"78.5","71.3","7469.455638","8.23011604","92"
"17","Burkina Faso","84.5",483,"60.992","59.598","583.8308982","6.75254452","91"
"18","Burundi","63.9",408,"59.492","55.517","281.1813376","6.19156298","94"
"19","Cabo Verde","18.5",767,"74.687","70.676","3082.157104","5.23696219","96"
"20","Cambodia","30.6",656,"70.949","66.809","1269.907238","6.08196009","93"
"21","Cameroon","86.8",417,"59.232","56.922","1391.751883","4.6902491","85"
"22","Central African Republic","125",352,"54.042","50.323","382.0702811","4.28252151","47"
"23","Chad","126.9",357,"54.138","51.685","698.2108863","4.5381013","41"
"24","China","10",861,"77.833","74.795","8117.267465","4.98188075","99"
"25","Colombia","15.2",805,"77.996","70.851","5813.694519","5.91234407","91"
"26","Comoros","71.1",540,"65.444","62.018","1287.406402","7.63108978","91"
"27","Congo, Dem. Rep.","94.4",445,"61.112","58.141","471.6359456","3.87116143","79"
"28","Congo, Rep.","49.4",562,"66.271","63.016","1762.809913","4.63481785","71"
"29","Costa Rica","9.2",932,"82.277","77.451","11767.50425","7.55572353","97"
"30","Cote d'Ivoire","91.8",363,"55.141","52.144","1493.506061","4.40362075","82"
"31","Cuba","5.5",930,"81.782","77.748","7961.84588","12.19122021","99"
"32","Djibouti","63.7",514,"64.162","60.831","1872.234623","3.50192451","68"
"33","Dominica","32.9",2,"..","..","7824.921777","5.30393975","99"
"34","Dominican Republic","30.8",794,"77.117","70.815","6793.538125","6.16130052","87"
"35","Ecuador","14.8",863,"79.109","73.636","6099.315303","8.38714107","83"
"36","Egypt, Arab Rep.","22.9",734,"73.763","69.301","3479.281246","4.63781726","95"
"37","El Salvador","15",783,"77.907","68.801","3768.837705","6.95775683","93"
"38","Equatorial Guinea","92.8",410,"59.161","56.409","9218.987324","3.37653274","19"
"39","Eritrea","44.5",573,"67.286","62.974","..","2.95931347","95"
"40","Eswatini","56.3",411,"60.908","54.354","2842.257229","7.69694547","90"
"41","Ethiopia","61.2",580,"67.366","63.617","712.87795","3.97401588","73"
"42","Fiji","25",695,"73.485","67.407","5197.50914","3.46146795","99"
"43","Gabon","50.1",596,"67.765","64.535","7078.72954","3.11291313","75"
"44","Gambia, The","65.8",500,"62.581","59.872","707.5289845","4.43153755","95"
"45","Georgia","11.4",777,"77.482","68.984","3857.276309","8.43609722","92"
"46","Ghana","51.8",518,"63.743","61.708","1950.234377","4.44871433","93"
"47","Grenada","16.6",789,"76.142","71.239","9892.479497","5.24666501","96"
"48","Guatemala","28.6",780,"76.582","70.177","4140.737635","5.82031093","80"
"49","Guinea","88.7",480,"60.526","59.489","701.3886423","5.47827339","45"
"50","Guinea-Bissau","87.4",407,"59.134","55.657","648.8989366","6.09011769","87"
"51","Guyana","32.3",607,"69.035","64.393","4531.243527","4.24328719","97"
"52","Haiti","73.4",532,"65.515","61.162","734.8025912","5.38571841","58"
"53","Honduras","18.9",785,"76.133","71.035","2375.096327","8.40196647","97"
"54","India","41.6",647,"70.166","67.094","1729.70973","3.65833057","88"
"55","Indonesia","26.3",665,"71.364","67.15","3568.832648","3.12449094","79"
"56","Iran, Islamic Rep.","15.5",852,"77.107","74.882","5219.109408","8.10277065","99"
"57","Iraq","31.3",678,"72.104","67.648","4584.617431","3.31216318","63"
"58","Jamaica","15.7",853,"78.389","73.611","4883.86027","6.0723917","99"
"59","Jordan","17.6",803,"76.095","72.66","4087.937517","5.46821058","98"
"60","Kazakhstan","10.9",758,"76.6","68.1","7714.841844","3.52614962","82"
"61","Kenya","47.1",616,"69.44","64.638","1462.503743","4.54957525","89"
"62","Kiribati","56.2",598,"69.627","63.017","1558.886953","11.85986702","81"
"63","Korea, Dem. People’s Rep.","20",742,"75.071","68.055","..","..","96"
"64","Kyrgyz Republic","21.1",712,"75.1","67","1120.666513","6.62528772","96"
"65","Lao PDR","65.6",609,"68.208","65.131","2338.692157","2.36087478","82"
"66","Lebanon","8.1",929,"81.444","77.978","8571.126248","8.01673185","79"
"67","Lesotho","88.9",369,"56.37","51.74","1054.268754","8.0765782","93"
"68","Liberia","77.4",515,"63.481","61.524","710.4360094","9.61511081","79"
"69","Libya","12.8",749,"74.941","69.165","4166.630529","..","97"
"70","Madagascar","45.9",591,"67.506","64.371","401.7422654","6.00363747","77"
"71","Malawi","58.4",530,"65.761","60.575","300.3077488","9.83034233","84"
"72","Malaysia","7.7",834,"77.7","73.161","9515.194318","3.80219497","95"
"73","Maldives","8.3",882,"78.484","76.405","10319.09716","10.61083995","99"
"74","Mali","109.6",414,"58.674","57.249","778.6004251","3.81961944","66"
"75","Marshall Islands","34.9",2,"..","..","3665.207477","23.28730052","71"
"76","Mauritania","81.5",531,"64.745","61.737","1101.901627","4.2410152","74"
"77","Mauritius","13.8",806,"77.76","71.19","9681.618567","5.745666","96"
"78","Mexico","14.1",880,"79.538","74.715","8450.49401","5.46900124","97"
"79","Micronesia, Fed. Sts.","33.1",666,"70.363","68.023","3143.749107","12.56300745","69"
"80","Moldova","15.7",739,"75.895","67.334","1913.237414","8.98095464","89"
"81","Mongolia","18",668,"73.546","65.277","3695.164849","3.8090161","99"
"82","Montenegro","3.8",878,"79.48","74.723","7028.940132","7.64204428","89"
"83","Morocco","24.3",850,"76.956","74.642","2885.487531","5.83767147","99"
"84","Mozambique","74.8",419,"60.395","56.12","380.9073058","5.0661965","80"
"85","Myanmar","50.5",605,"68.94","64.242","1196.103204","5.08779798","90"
"86","Namibia","45.2",551,"67.241","61.381","4549.421642","9.12250271","85"
"87","Nauru","34",2,"..","..","7821.298918","11.10191475","97"
"88","Nepal","35",694,"71.877","68.66","730.9833283","6.29441655","87"
"89","Nicaragua","17.9",838,"78.391","72.343","2143.925893","8.74635494","98"
"90","Niger","88.7",481,"61.111","59.088","364.1605078","6.22894111","80"
